satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
4,2,4,4,3,3,3,Non,16 %,39,F,12742,Marié(e),Consulting,Tech Lead,1,21,21,6,Non,1,3,1,1,1,Infra & Cloud,Occasionnel,11,8
1,3,2,4,2,3,3,Non,18 %,27,F,4227,Marié(e),Consulting,Tech Lead,0,4,3,2,Non,1,2,1,2,4,Infra & Cloud,Occasionnel,2,2
2,3,1,4,1,2,4,Non,20 %,35,M,3917,Divorcé(e),Consulting,Consultant,1,3,3,2,Non,1,4,1,10,3,Autre,Occasionnel,1,2
4,3,5,3,2,4,3,Non,13 %,42,M,18303,Marié(e),Commercial,Senior Manager,6,21,1,0,Non,0,3,1,5,2,Marketing,Occasionnel,0,0
1,3,1,4,2,3,3,Non,18 %,50,M,2380,Marié(e),Consulting,Consultant,4,8,1,0,Non,0,5,1,9,3,Infra & Cloud,Occasionnel,0,0
3,2,4,4,1,3,3,Oui,13 %,59,F,13726,Célibataire,Consulting,Tech Lead,3,30,5,3,Non,0,4,1,2,3,Infra & Cloud,Occasionnel,4,3
1,1,2,2,1,1,3,Non,15 %,37,F,4777,Marié(e),Consulting,Manager,5,15,1,0,Oui,0,2,1,11,2,Transformation Digitale,Occasionnel,0,0
3,3,2,2,4,3,3,Oui,14 %,55,M,6385,Marié(e),Consulting,Manager,3,17,8,7,Non,2,3,1,18,4,Transformation Digitale,Frequent,6,7
2,1,5,3,2,3,4,Non,22 %,41,F,19973,Divorcé(e),Consulting,Directeur Technique,1,21,21,16,Non,2,3,1,7,1,Infra & Cloud,Aucun,5,10
2,3,2,4,3,3,3,Oui,12 %,38,M,6861,Célibataire,Commercial,Cadre Commercial,8,19,1,0,Non,0,1,1,3,4,Infra & Cloud,Occasionnel,0,0
2,1,2,1,4,3,3,Non,18 %,26,M,4969,Célibataire,Commercial,Cadre Commercial,8,7,2,2,Oui,0,6,1,29,2,Transformation Digitale,Aucun,2,2
1,1,5,4,4,3,3,Non,15 %,52,F,19845,Marié(e),Commercial,Senior Manager,1,33,32,14,Oui,1,3,1,2,1,Marketing,Occasionnel,6,9
4,4,4,4,3,3,3,Oui,18 %,44,F,13320,Marié(e),Commercial,Cadre Commercial,3,23,12,11,Non,1,2,1,28,3,Transformation Digitale,Occasionnel,11,11
4,3,2,3,1,3,3,Non,12 %,50,F,6347,Marié(e),Commercial,Cadre Commercial,0,19,18,7,Non,1,3,1,1,3,Infra & Cloud,Aucun,0,13
3,4,1,1,3,3,3,Non,16 %,36,F,2743,Célibataire,Consulting,Consultant,1,18,17,13,Oui,0,1,1,16,4,Infra & Cloud,Occasionnel,15,14
4,3,3,1,3,3,3,Oui,13 %,39,F,10880,Célibataire,Consulting,Tech Lead,1,21,21,6,Non,0,2,1,22,3,Transformation Digitale,Frequent,2,8
2,2,1,4,4,2,3,Non,19 %,33,F,2342,Célibataire,Commercial,Représentant Commercial,0,3,2,2,Non,0,2,1,8,1,Infra & Cloud,Aucun,2,2
4,3,4,4,2,4,3,Non,13 %,45,F,17650,Marié(e),Commercial,Senior Manager,3,26,9,3,Non,1,4,1,11,2,Infra & Cloud,Occasionnel,1,1
4,3,1,3,2,3,3,Non,12 %,32,F,4025,Célibataire,Consulting,Consultant,9,10,8,7,Non,0,2,1,29,4,Transformation Digitale,Aucun,7,7
2,4,2,4,4,2,3,Non,11 %,34,M,9725,Divorcé(e),Commercial,Cadre Commercial,0,16,15,1,Non,1,2,1,1,4,Marketing,Occasionnel,0,9
2,3,3,4,3,1,3,Oui,14 %,59,M,11904,Marié(e),Commercial,Senior Manager,3,14,6,4,Non,1,1,1,1,2,Entrepreunariat,Occasionnel,0,4
2,3,1,2,1,3,3,Non,16 %,45,M,2177,Célibataire,Ressources Humaines,Ressources Humaines,1,6,6,3,Non,0,3,1,24,4,Transformation Digitale,Occasionnel,0,4
3,2,3,2,1,3,3,Non,12 %,53,F,7525,Marié(e),Commercial,Cadre Commercial,2,30,15,7,Non,1,2,1,2,3,Marketing,Frequent,6,12
1,3,2,3,2,2,3,Non,14 %,36,M,4834,Divorcé(e),Consulting,Consultant,7,9,1,0,Oui,1,3,1,15,3,Autre,Occasionnel,0,0
1,3,1,1,2,3,3,Oui,14 %,26,M,2042,Marié(e),Consulting,Assistant de Direction,6,6,3,2,Oui,1,2,1,2,3,Infra & Cloud,Frequent,1,2
3,3,1,3,4,3,3,Oui,19 %,34,F,2220,Marié(e),Commercial,Représentant Commercial,1,1,1,1,Non,1,2,1,10,4,Infra & Cloud,Occasionnel,0,0
4,3,1,2,2,3,4,Non,22 %,28,M,1052,Marié(e),Commercial,Représentant Commercial,1,1,1,0,Non,0,5,1,10,1,Transformation Digitale,Occasionnel,0,0
3,3,1,3,1,3,3,Non,16 %,38,M,2821,Marié(e),Consulting,Assistant de Direction,3,8,2,2,Non,1,2,1,3,4,Autre,Frequent,2,2
2,3,5,3,4,2,3,Oui,11 %,50,M,19237,Marié(e),Consulting,Directeur Technique,2,29,8,1,Non,1,2,1,2,4,Transformation Digitale,Occasionnel,7,7
4,3,2,2,1,2,3,Non,15 %,37,F,4107,Célibataire,Consulting,Manager,3,8,4,3,Non,0,3,1,3,3,Autre,Occasionnel,0,1
3,3,2,1,2,2,3,Non,14 %,40,M,8396,Marié(e),Commercial,Cadre Commercial,1,8,7,7,Non,1,3,1,26,3,Marketing,Occasionnel,7,5
1,2,1,3,3,3,3,Non,13 %,26,F,2007,Divorcé(e),Consulting,Assistant de Direction,1,5,5,3,Non,2,5,1,1,1,Transformation Digitale,Frequent,1,3
4,3,5,4,4,3,3,Non,17 %,46,M,19627,Divorcé(e),Consulting,Directeur Technique,9,23,2,2,Non,2,0,1,1,4,Transformation Digitale,Occasionnel,2,2
3,2,3,3,2,3,3,Non,11 %,54,F,10686,Marié(e),Commercial,Cadre Commercial,6,13,9,4,Non,1,4,1,2,4,Infra & Cloud,Occasionnel,7,0
1,3,1,3,2,3,3,Non,19 %,56,F,2942,Marié(e),Consulting,Assistant de Direction,2,18,5,4,Non,1,4,1,9,3,Transformation Digitale,Frequent,0,3
4,2,3,4,2,2,3,Non,11 %,36,F,8858,Célibataire,Consulting,Tech Lead,0,15,14,8,Non,0,2,1,12,5,Transformation Digitale,Occasionnel,7,8
3,2,4,1,2,4,3,Non,15 %,55,M,16756,Célibataire,Consulting,Senior Manager,7,31,9,7,Non,0,3,1,2,1,Transformation Digitale,Aucun,6,2
3,2,3,4,3,3,3,Non,13 %,43,M,10798,Divorcé(e),Commercial,Cadre Commercial,5,18,1,0,Non,1,5,1,25,3,Transformation Digitale,Occasionnel,0,0
4,3,1,4,2,3,3,Oui,14 %,20,F,2323,Célibataire,Commercial,Représentant Commercial,1,2,2,2,Oui,0,3,1,9,3,Marketing,Frequent,0,2
3,2,1,1,1,2,3,Non,13 %,21,F,1416,Célibataire,Consulting,Consultant,1,1,1,0,Oui,0,6,1,10,3,Infra & Cloud,Occasionnel,1,0
4,2,2,1,1,3,4,Oui,23 %,46,F,4615,Divorcé(e),Consulting,Assistant de Direction,8,19,16,13,Non,3,2,1,8,4,Infra & Cloud,Occasionnel,1,7
1,3,1,3,3,4,3,Oui,12 %,51,M,2461,Marié(e),Consulting,Assistant de Direction,9,18,10,0,Oui,3,2,1,4,4,Infra & Cloud,Occasionnel,2,7
2,2,3,1,1,2,3,Non,12 %,28,M,8722,Célibataire,Consulting,Manager,1,10,10,7,Oui,0,2,1,24,2,Entrepreunariat,Aucun,1,9
1,2,1,1,1,3,3,Non,16 %,26,M,3955,Marié(e),Consulting,Consultant,1,6,5,3,Non,2,2,1,1,2,Transformation Digitale,Occasionnel,1,3
3,3,2,1,3,2,3,Non,15 %,30,M,9957,Marié(e),Consulting,Tech Lead,0,7,6,2,Non,1,1,1,20,3,Autre,Occasionnel,0,2
2,4,1,3,3,3,3,Non,13 %,41,F,3376,Marié(e),Consulting,Assistant de Direction,1,10,10,6,Non,0,3,1,7,2,Entrepreunariat,Occasionnel,0,8
3,2,3,3,1,2,3,Non,18 %,38,F,8823,Marié(e),Consulting,Manager,0,20,19,9,Non,1,4,1,17,1,Infra & Cloud,Occasionnel,1,9
1,3,3,4,4,3,4,Non,20 %,40,M,10322,Marié(e),Consulting,Manager,4,14,11,10,Non,1,6,1,20,4,Entrepreunariat,Occasionnel,11,1
1,1,1,3,4,3,3,Non,19 %,27,M,4621,Marié(e),Consulting,Consultant,1,3,3,2,Non,3,4,1,8,5,Infra & Cloud,Aucun,1,2
4,3,3,2,2,3,3,Non,18 %,55,M,10976,Marié(e),Consulting,Tech Lead,3,23,3,2,Non,1,4,1,2,1,Infra & Cloud,Frequent,1,2
3,3,2,3,4,4,3,Non,13 %,28,F,3660,Célibataire,Consulting,Assistant de Direction,3,10,8,7,Non,0,4,1,10,3,Autre,Occasionnel,1,7
2,2,3,1,4,3,3,Non,14 %,44,M,10482,Marié(e),Ressources Humaines,Ressources Humaines,9,24,20,6,Oui,1,1,1,1,2,Transformation Digitale,Occasionnel,3,6
4,2,3,4,3,3,3,Non,15 %,33,M,7119,Divorcé(e),Consulting,Manager,4,9,3,2,Non,1,2,1,5,3,Infra & Cloud,Occasionnel,1,2
4,3,3,1,1,3,4,Oui,22 %,35,M,9582,Célibataire,Commercial,Cadre Commercial,0,9,8,7,Oui,0,2,1,4,3,Entrepreunariat,Occasionnel,4,7
1,2,2,3,2,3,4,Non,22 %,33,F,4508,Célibataire,Consulting,Assistant de Direction,1,14,13,7,Oui,0,4,1,29,4,Transformation Digitale,Frequent,3,8
1,3,1,3,4,2,3,Non,16 %,28,M,2207,Divorcé(e),Consulting,Consultant,1,4,4,2,Non,1,5,1,15,2,Infra & Cloud,Occasionnel,2,2
1,3,2,4,3,2,3,Non,17 %,34,M,7756,Célibataire,Consulting,Manager,0,7,6,2,Non,0,1,1,3,1,Infra & Cloud,Frequent,0,4
4,2,2,4,3,3,3,Oui,14 %,37,F,6694,Divorcé(e),Commercial,Cadre Commercial,2,8,1,0,Non,3,5,1,10,4,Infra & Cloud,Occasionnel,0,0
4,3,1,4,2,4,3,Oui,15 %,25,M,3691,Marié(e),Consulting,Consultant,1,7,7,7,Oui,1,3,1,4,1,Entrepreunariat,Occasionnel,5,6
1,3,1,3,3,2,4,Non,20 %,26,M,2377,Divorcé(e),Consulting,Consultant,1,1,1,1,Oui,1,0,1,21,3,Transformation Digitale,Occasionnel,0,0
1,2,1,2,2,3,4,Oui,20 %,33,M,2313,Célibataire,Consulting,Assistant de Direction,4,5,2,2,Oui,0,0,1,25,3,Transformation Digitale,Occasionnel,2,2
4,3,4,1,4,3,3,Non,17 %,42,M,17665,Marié(e),Consulting,Senior Manager,0,23,22,6,Non,1,3,1,2,2,Transformation Digitale,Occasionnel,13,7
1,2,1,2,1,3,3,Non,15 %,28,M,2596,Divorcé(e),Consulting,Consultant,1,1,1,0,Oui,2,2,1,1,3,Transformation Digitale,Frequent,0,0
4,3,2,3,4,3,3,Oui,14 %,50,M,4728,Célibataire,Commercial,Cadre Commercial,3,5,0,0,Oui,0,4,1,1,4,Autre,Frequent,0,0
4,3,2,2,3,3,3,Non,17 %,33,F,4302,Marié(e),Commercial,Cadre Commercial,0,4,3,2,Non,1,3,1,7,3,Infra & Cloud,Frequent,0,2
3,2,1,4,4,3,3,Non,17 %,34,M,2979,Marié(e),Consulting,Assistant de Direction,3,6,0,0,Non,3,2,1,3,4,Infra & Cloud,Aucun,0,0
1,4,4,4,3,2,4,Non,22 %,48,M,16885,Célibataire,Consulting,Senior Manager,2,27,5,4,Non,0,3,1,1,4,Transformation Digitale,Aucun,2,1
2,2,2,3,4,3,3,Non,13 %,45,F,5593,Marié(e),Commercial,Cadre Commercial,1,15,15,10,Non,1,2,1,9,4,Infra & Cloud,Aucun,4,12
2,3,3,2,4,3,3,Non,19 %,52,M,10445,Célibataire,Consulting,Manager,7,18,8,6,Non,0,4,1,7,4,Infra & Cloud,Occasionnel,4,0
3,2,3,3,2,3,3,Oui,14 %,38,M,8740,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,Non,2,2,1,10,4,Marketing,Occasionnel,2,7
3,3,1,4,1,3,4,Non,22 %,29,F,2514,Divorcé(e),Consulting,Assistant de Direction,4,11,7,5,Non,1,1,1,28,4,Infra & Cloud,Occasionnel,1,7
4,3,3,2,2,2,3,Non,17 %,28,F,7655,Divorcé(e),Consulting,Tech Lead,0,10,9,7,Non,3,3,1,3,3,Transformation Digitale,Occasionnel,1,7
1,3,4,3,4,3,3,Non,12 %,46,M,17465,Marié(e),Commercial,Senior Manager,3,23,12,9,Non,1,3,1,3,1,Marketing,Occasionnel,4,9
4,3,3,2,3,3,3,Non,16 %,38,M,7351,Célibataire,Commercial,Cadre Commercial,7,10,1,0,Non,0,2,1,2,2,Marketing,Occasionnel,0,0
3,3,3,1,3,3,3,Non,11 %,43,F,10820,Marié(e),Consulting,Tech Lead,8,18,8,7,Non,1,1,1,27,3,Infra & Cloud,Frequent,0,1
1,3,4,4,4,3,3,Non,11 %,39,M,12169,Divorcé(e),Consulting,Manager,7,21,18,7,Oui,3,4,1,2,3,Infra & Cloud,Frequent,11,5
3,2,5,3,1,4,3,Non,14 %,40,M,19626,Célibataire,Consulting,Directeur Technique,1,21,20,7,Non,0,2,1,14,3,Transformation Digitale,Occasionnel,4,9
4,2,1,2,3,4,3,Oui,11 %,21,F,2070,Célibataire,Consulting,Assistant de Direction,1,2,2,2,Non,0,6,1,1,1,Entrepreunariat,Occasionnel,2,2
3,3,2,2,3,2,3,Non,15 %,39,M,6782,Célibataire,Consulting,Consultant,9,9,5,4,Non,0,2,1,9,3,Infra & Cloud,Aucun,0,3
1,3,2,4,1,3,4,Non,20 %,36,M,7779,Célibataire,Consulting,Tech Lead,2,18,11,9,Non,0,0,1,18,4,Infra & Cloud,Aucun,0,9
3,4,1,4,1,3,3,Non,12 %,31,M,2791,Marié(e),Commercial,Représentant Commercial,0,3,2,2,Non,1,4,1,20,3,Infra & Cloud,Frequent,2,2
1,2,1,2,1,1,3,Non,17 %,28,M,3201,Marié(e),Consulting,Assistant de Direction,0,6,5,3,Non,0,2,1,2,1,Infra & Cloud,Occasionnel,0,4
4,3,2,4,4,3,3,Non,11 %,35,M,4968,Divorcé(e),Commercial,Cadre Commercial,1,5,5,2,Non,1,3,1,11,2,Marketing,Frequent,0,2
4,2,4,2,2,3,3,Non,17 %,49,M,13120,Marié(e),Commercial,Cadre Commercial,6,22,9,8,Non,1,3,1,8,4,Entrepreunariat,Occasionnel,2,3
4,3,2,3,4,2,3,Non,11 %,34,M,4033,Célibataire,Consulting,Tech Lead,2,5,3,2,Non,0,3,1,2,2,Infra & Cloud,Frequent,0,2
4,3,1,2,4,2,3,Non,14 %,29,F,3291,Divorcé(e),Consulting,Assistant de Direction,0,8,7,5,Non,2,2,1,10,3,Infra & Cloud,Frequent,1,1
2,1,2,4,1,3,3,Non,19 %,42,M,4272,Célibataire,Consulting,Consultant,4,16,1,0,Non,0,3,1,29,3,Transformation Digitale,Occasionnel,0,0
2,2,2,4,3,2,3,Oui,15 %,29,M,5056,Marié(e),Consulting,Tech Lead,1,10,10,7,Non,1,2,1,8,1,Transformation Digitale,Occasionnel,1,2
3,4,1,3,4,4,3,Non,13 %,38,M,2844,Marié(e),Ressources Humaines,Ressources Humaines,1,7,7,6,Non,1,2,1,1,3,Ressources Humaines,Occasionnel,5,0
3,2,1,3,4,3,3,Oui,14 %,28,M,2703,Divorcé(e),Consulting,Assistant de Direction,1,3,3,1,Non,1,2,1,6,3,Infra & Cloud,Frequent,0,2
3,3,1,3,4,3,3,Non,12 %,18,M,1904,Célibataire,Consulting,Consultant,1,0,0,0,Oui,0,0,1,8,1,Transformation Digitale,Aucun,0,0
1,3,2,1,1,3,3,Oui,17 %,33,F,8224,Célibataire,Commercial,Cadre Commercial,0,6,5,2,Oui,0,3,1,9,4,Marketing,Occasionnel,0,3
2,3,1,4,1,3,3,Oui,11 %,41,M,4766,Marié(e),Consulting,Consultant,3,6,1,0,Non,1,4,1,12,4,Infra & Cloud,Occasionnel,0,0
3,3,1,3,3,2,3,Non,12 %,31,M,2610,Marié(e),Consulting,Consultant,1,2,2,2,Oui,1,5,1,15,3,Transformation Digitale,Frequent,2,2
3,2,2,4,3,3,3,Non,13 %,37,F,5731,Divorcé(e),Consulting,Manager,7,9,6,2,Non,2,2,1,25,2,Transformation Digitale,Occasionnel,1,3
4,2,1,3,3,3,3,Non,13 %,27,M,2539,Marié(e),Consulting,Assistant de Direction,1,4,4,2,Non,1,0,1,6,3,Infra & Cloud,Occasionnel,2,2
2,3,2,3,1,2,4,Non,20 %,34,F,5714,Marié(e),Commercial,Cadre Commercial,1,6,6,5,Non,0,3,1,9,1,Infra & Cloud,Occasionnel,1,3
3,3,1,3,2,1,3,Non,17 %,35,M,4323,Célibataire,Ressources Humaines,Ressources Humaines,1,6,5,4,Non,0,2,1,8,4,Entrepreunariat,Occasionnel,1,4
4,2,3,1,1,1,3,Non,13 %,29,F,7336,Marié(e),Commercial,Cadre Commercial,1,11,11,8,Oui,1,3,1,23,1,Infra & Cloud,Occasionnel,3,10
2,3,3,3,3,2,3,Non,17 %,40,F,13499,Célibataire,Consulting,Directeur Technique,9,20,18,7,Non,0,3,1,9,4,Transformation Digitale,Frequent,2,13
3,3,4,1,2,2,3,Oui,12 %,42,M,13758,Célibataire,Commercial,Cadre Commercial,0,22,21,9,Oui,0,2,1,12,3,Infra & Cloud,Frequent,13,14
2,3,2,1,4,4,3,Non,13 %,42,M,5155,Célibataire,Commercial,Cadre Commercial,7,9,6,4,Non,0,3,1,4,4,Marketing,Occasionnel,1,5
4,2,1,3,2,3,3,Non,12 %,35,M,2258,Marié(e),Consulting,Consultant,6,10,8,0,Non,1,2,1,1,4,Transformation Digitale,Occasionnel,1,7
4,3,1,2,4,3,4,Non,22 %,24,M,3597,Célibataire,Consulting,Consultant,8,6,4,3,Non,0,2,1,24,3,Transformation Digitale,Occasionnel,1,2
3,3,1,4,4,2,3,Oui,11 %,28,F,2515,Marié(e),Consulting,Consultant,1,1,1,1,Oui,0,4,1,12,1,Infra & Cloud,Occasionnel,0,0
1,4,1,4,2,3,4,Non,22 %,26,M,4420,Marié(e),Consulting,Consultant,1,8,8,7,Non,1,2,1,3,4,Transformation Digitale,Occasionnel,0,7
3,2,2,3,1,3,3,Non,18 %,30,M,6578,Marié(e),Commercial,Cadre Commercial,1,10,10,3,Non,1,3,1,10,3,Marketing,Occasionnel,1,4
3,2,2,4,4,1,3,Oui,13 %,40,F,4422,Marié(e),Consulting,Assistant de Direction,3,16,1,1,Non,1,3,1,26,2,Transformation Digitale,Frequent,0,0
3,2,3,2,2,4,3,Non,18 %,35,M,10274,Divorcé(e),Consulting,Tech Lead,2,15,7,7,Non,1,2,1,2,3,Infra & Cloud,Occasionnel,6,4
4,2,2,1,3,3,4,Non,20 %,34,M,5343,Célibataire,Consulting,Manager,0,14,13,9,Non,0,3,1,1,3,Transformation Digitale,Frequent,4,9
4,2,1,4,2,4,3,Non,13 %,35,M,2376,Marié(e),Consulting,Consultant,1,2,2,2,Non,1,2,1,4,4,Autre,Frequent,2,2
1,1,2,3,2,2,3,Non,13 %,43,F,5346,Célibataire,Commercial,Cadre Commercial,8,7,4,3,Oui,0,2,1,9,3,Marketing,Occasionnel,1,3
3,3,1,1,3,3,3,Non,12 %,32,F,2827,Divorcé(e),Commercial,Représentant Commercial,1,1,1,0,Non,3,3,1,2,1,Infra & Cloud,Aucun,0,0
4,3,5,1,4,3,3,Non,13 %,56,F,19943,Divorcé(e),Consulting,Senior Manager,4,28,5,2,Non,1,2,1,4,4,Entrepreunariat,Occasionnel,4,2
2,3,1,4,1,3,3,Non,13 %,29,F,3131,Marié(e),Consulting,Consultant,1,10,10,8,Non,1,5,1,6,1,Transformation Digitale,Occasionnel,0,8
3,3,1,1,3,3,4,Non,25 %,19,M,2552,Célibataire,Consulting,Assistant de Direction,1,1,1,1,Non,0,4,1,9,2,Infra & Cloud,Occasionnel,0,0
1,3,1,3,3,2,3,Oui,19 %,45,F,4477,Marié(e),Consulting,Assistant de Direction,4,7,3,2,Non,1,2,1,7,3,Transformation Digitale,Occasionnel,0,2
4,2,2,4,2,2,3,Non,13 %,37,F,6474,Marié(e),Consulting,Tech Lead,1,14,14,8,Non,1,2,1,1,3,Infra & Cloud,Occasionnel,3,11
1,2,1,3,1,2,3,Non,12 %,20,M,3033,Célibataire,Consulting,Consultant,1,2,2,2,Non,0,2,1,3,3,Infra & Cloud,Occasionnel,1,2
3,3,1,3,3,3,3,Oui,11 %,44,M,2936,Célibataire,Consulting,Assistant de Direction,1,6,6,4,Oui,0,4,1,10,4,Infra & Cloud,Occasionnel,0,2
4,3,5,3,2,3,3,Non,18 %,53,F,18606,Divorcé(e),Consulting,Senior Manager,3,26,7,7,Non,1,6,1,7,2,Transformation Digitale,Occasionnel,4,7
2,1,1,4,1,2,3,Oui,18 %,29,F,2168,Marié(e),Consulting,Assistant de Direction,0,6,5,4,Non,1,2,1,15,1,Infra & Cloud,Occasionnel,1,3
3,2,1,4,2,3,3,Oui,11 %,22,M,2853,Marié(e),Consulting,Assistant de Direction,0,1,0,0,Oui,1,5,1,3,4,Infra & Cloud,Frequent,0,0
3,3,4,1,1,3,4,Non,23 %,46,F,17048,Marié(e),Commercial,Senior Manager,8,28,26,15,Non,0,2,1,2,3,Marketing,Occasionnel,15,9
4,1,1,3,4,3,3,Non,13 %,44,M,2290,Célibataire,Consulting,Assistant de Direction,2,6,0,0,Non,0,3,1,17,3,Infra & Cloud,Aucun,0,0
2,3,1,3,4,3,3,Non,13 %,33,M,3600,Marié(e),Ressources Humaines,Ressources Humaines,1,5,5,4,Non,1,2,1,2,3,Ressources Humaines,Occasionnel,1,4
1,2,1,1,1,1,3,Non,17 %,41,M,2107,Divorcé(e),Consulting,Assistant de Direction,6,5,1,0,Oui,1,2,1,5,2,Infra & Cloud,Aucun,0,0
3,3,2,1,3,3,3,Non,19 %,30,M,4115,Divorcé(e),Commercial,Cadre Commercial,8,8,4,3,Non,3,3,1,29,4,Infra & Cloud,Occasionnel,0,3
2,3,2,2,4,3,3,Non,12 %,40,M,4327,Marié(e),Commercial,Cadre Commercial,5,5,0,0,Non,3,2,1,2,4,Transformation Digitale,Frequent,0,0
4,3,4,1,3,3,4,Non,22 %,50,F,17856,Marié(e),Consulting,Senior Manager,2,32,2,2,Non,1,3,1,2,3,Transformation Digitale,Frequent,2,2
4,2,1,1,3,3,3,Non,12 %,28,M,3196,Marié(e),Consulting,Consultant,1,6,6,5,Non,3,2,1,19,4,Transformation Digitale,Occasionnel,3,3
4,3,5,2,1,3,3,Non,11 %,46,M,19081,Marié(e),Consulting,Directeur Technique,5,25,4,2,Non,1,2,1,15,2,Infra & Cloud,Occasionnel,0,3
3,3,2,1,4,3,3,Oui,15 %,35,M,8966,Marié(e),Commercial,Cadre Commercial,3,15,7,7,Non,3,2,1,17,4,Infra & Cloud,Occasionnel,1,7
4,3,1,2,1,1,3,Non,13 %,24,F,2210,Marié(e),Consulting,Consultant,1,1,1,0,Oui,1,3,1,17,2,Infra & Cloud,Occasionnel,0,0
2,3,2,3,1,2,3,Non,12 %,33,F,4539,Marié(e),Commercial,Cadre Commercial,1,10,10,7,Non,1,3,1,25,3,Transformation Digitale,Frequent,0,1
3,1,1,3,3,3,3,Non,14 %,36,M,2741,Divorcé(e),Consulting,Consultant,1,7,7,7,Non,1,4,1,6,4,Infra & Cloud,Occasionnel,1,7
3,3,2,3,1,2,3,Non,13 %,30,M,3491,Divorcé(e),Consulting,Consultant,1,10,10,7,Non,3,4,1,7,4,Infra & Cloud,Occasionnel,8,9
4,3,2,4,2,3,4,Non,25 %,44,M,4541,Célibataire,Consulting,Assistant de Direction,1,20,20,11,Non,0,3,1,29,4,Autre,Occasionnel,13,17
3,4,1,4,4,3,3,Non,17 %,20,M,2678,Célibataire,Commercial,Représentant Commercial,1,2,2,1,Non,0,2,1,21,3,Marketing,Occasionnel,2,2
4,3,2,4,3,2,3,Non,11 %,46,M,7379,Divorcé(e),Consulting,Tech Lead,2,12,6,3,Non,1,3,1,2,4,Entrepreunariat,Occasionnel,1,4
4,4,2,1,1,4,3,Non,16 %,42,M,6272,Marié(e),Ressources Humaines,Ressources Humaines,7,10,4,3,Non,1,3,1,2,5,Transformation Digitale,Aucun,0,3
2,4,2,4,2,3,3,Oui,18 %,60,M,5220,Divorcé(e),Commercial,Cadre Commercial,0,12,11,7,Non,1,3,1,7,4,Marketing,Occasionnel,1,9
3,2,1,2,3,3,4,Non,20 %,32,F,2743,Marié(e),Consulting,Consultant,1,2,2,2,Non,1,2,1,13,3,Autre,Frequent,2,2
4,3,2,3,4,3,3,Oui,14 %,32,F,4998,Célibataire,Consulting,Assistant de Direction,4,10,8,7,Non,0,2,1,2,2,Infra & Cloud,Frequent,0,7
3,1,3,1,3,3,4,Oui,21 %,36,F,10252,Divorcé(e),Consulting,Tech Lead,2,17,7,7,Non,1,2,1,1,3,Entrepreunariat,Occasionnel,7,7
1,3,1,4,2,3,3,Non,13 %,33,M,2781,Marié(e),Consulting,Assistant de Direction,0,15,14,10,Non,1,5,1,9,3,Transformation Digitale,Occasionnel,4,10
2,2,2,2,2,4,3,Non,12 %,40,F,6852,Divorcé(e),Commercial,Cadre Commercial,7,7,5,1,Non,1,2,1,10,3,Entrepreunariat,Occasionnel,1,3
3,3,2,4,2,3,3,Non,14 %,25,M,4950,Célibataire,Commercial,Cadre Commercial,0,5,4,3,Non,0,4,1,10,4,Infra & Cloud,Occasionnel,1,1
4,3,1,2,1,3,4,Oui,21 %,30,M,3579,Marié(e),Consulting,Assistant de Direction,0,12,11,9,Non,1,2,1,1,3,Transformation Digitale,Occasionnel,5,7
1,3,3,1,3,3,3,Oui,17 %,42,F,13191,Marié(e),Consulting,Directeur Technique,3,20,1,0,Non,0,6,1,26,5,Transformation Digitale,Frequent,0,0
3,2,3,4,2,2,3,Oui,11 %,35,F,10377,Marié(e),Commercial,Cadre Commercial,4,16,13,2,Non,1,6,1,8,2,Marketing,Aucun,4,12
1,3,1,1,4,2,3,Oui,14 %,27,M,2235,Marié(e),Consulting,Assistant de Direction,1,9,9,7,Non,2,3,1,14,3,Infra & Cloud,Occasionnel,6,8
4,3,3,3,1,1,3,Non,17 %,54,F,10502,Divorcé(e),Consulting,Tech Lead,7,33,5,4,Non,1,2,1,1,4,Infra & Cloud,Frequent,1,4
1,4,1,4,4,3,3,Non,13 %,44,F,2011,Marié(e),Consulting,Assistant de Direction,1,10,10,5,Non,1,5,1,2,1,Infra & Cloud,Occasionnel,7,7
1,2,1,2,2,4,4,Oui,25 %,19,F,1859,Célibataire,Consulting,Assistant de Direction,1,1,1,1,Oui,0,2,1,10,3,Transformation Digitale,Aucun,0,0
1,3,1,4,1,3,3,Non,15 %,29,F,3760,Divorcé(e),Consulting,Assistant de Direction,1,3,3,2,Non,3,5,1,1,3,Infra & Cloud,Occasionnel,1,2
4,3,4,4,1,3,3,Non,14 %,54,M,17779,Marié(e),Consulting,Directeur Technique,3,36,10,9,Non,0,2,1,3,3,Infra & Cloud,Occasionnel,0,9
